timestamp,X,Y,Z
3025197312,-10356.0,-11041.0,1615.0
3025217312,-10114.0,-10936.0,1421.0
3025237504,-9853.0,-10882.0,1245.0
3025257504,-9618.0,-10714.0,1133.0
3025279744,-9545.0,-10459.0,1145.0
3025299744,-9733.0,-10160.0,1260.0
3025316608,-10194.0,-9899.0,1361.0
3025336608,-10774.0,-9814.0,1342.0
3025356608,-11225.0,-9985.0,1179.0
3025376768,-11587.0,-10342.0,962.0
3025396768,-12117.0,-10707.0,856.0
3025416704,-12809.0,-11026.0,903.0
3025436704,-13296.0,-11271.0,1044.0
3025456640,-13240.0,-11487.0,1231.0
3025476640,-12775.0,-11528.0,1464.0
3025496832,-12268.0,-11480.0,1789.0
3025516832,-11958.0,-11381.0,2143.0
3025536768,-11882.0,-11066.0,2416.0
3025556768,-11893.0,-10644.0,2533.0
3025576960,-11895.0,-10314.0,2511.0
3025596960,-11938.0,-10245.0,2395.0
3025616896,-12092.0,-10335.0,2236.0
3025636896,-12228.0,-10471.0,2095.0
3025657088,-12238.0,-10636.0,2022.0
3025677088,-12183.0,-10857.0,2055.0
3025697024,-12195.0,-11011.0,2239.0
3025717024,-12302.0,-11079.0,2593.0
3025736960,-12444.0,-11105.0,3044.0
3025756960,-12541.0,-11254.0,3458.0
3025778432,-12549.0,-11471.0,3724.0
3025798432,-12463.0,-11557.0,3844.0
3025817088,-12286.0,-11520.0,3873.0
3025837088,-12054.0,-11440.0,3799.0
3025857280,-11822.0,-11339.0,3595.0
3025877280,-11571.0,-11193.0,3276.0
3025897216,-11309.0,-10979.0,2904.0
3025917216,-11131.0,-10695.0,2556.0
3025937152,-11100.0,-10521.0,2313.0
3025957152,-11159.0,-10583.0,2236.0
3025977344,-11288.0,-10714.0,2252.0
3025997344,-11508.0,-10766.0,2272.0
3026017280,-11779.0,-10887.0,2262.0
3026037280,-12003.0,-11071.0,2227.0
3026057472,-12206.0,-11201.0,2199.0
3026077472,-12486.0,-11255.0,2171.0
3026097408,-12916.0,-11145.0,2122.0
3026117408,-13435.0,-10944.0,2048.0
3026137344,-13927.0,-10685.0,1993.0
3026157344,-14288.0,-10483.0,1982.0
3026177536,-14493.0,-10398.0,1994.0
3026197536,-14589.0,-10311.0,1980.0
3026217472,-14609.0,-10228.0,1916.0
3026237472,-14540.0,-10248.0,1847.0
3026257664,-14309.0,-10270.0,1801.0
3026277664,-13924.0,-10122.0,1771.0
3026297600,-13453.0,-9968.0,1750.0
3026317600,-12932.0,-9950.0,1716.0
3026337536,-12468.0,-9954.0,1656.0
3026357536,-12178.0,-10101.0,1576.0
3026377728,-12059.0,-10343.0,1493.0
3026397728,-11955.0,-10562.0,1424.0
3026417664,-11701.0,-10910.0,1370.0
3026437664,-11271.0,-11308.0,1399.0
3026457856,-10738.0,-11510.0,1578.0
3026477856,-10217.0,-11505.0,1855.0
3026497792,-9692.0,-11586.0,2174.0
3026517792,-9147.0,-11770.0,2462.0
3026537728,-8673.0,-11933.0,2662.0
3026557728,-8407.0,-12039.0,2775.0
3026577920,-8310.0,-12200.0,2872.0
3026597920,-8194.0,-12487.0,2973.0
3026617856,-7934.0,-12837.0,3059.0
3026637856,-7609.0,-13098.0,3147.0
3026658048,-7369.0,-13227.0,3282.0
3026678048,-7305.0,-13324.0,3522.0
3026697984,-7343.0,-13445.0,3891.0
3026717984,-7420.0,-13474.0,4327.0
3026737920,-7508.0,-13354.0,4780.0
3026757920,-7597.0,-12987.0,5213.0
3026778368,-7737.0,-12422.0,5563.0
3026798368,-7994.0,-12012.0,5780.0
3026818048,-8262.0,-12070.0,5917.0
3026838048,-8371.0,-12401.0,6066.0
3026858240,-8356.0,-12671.0,6249.0
3026878240,-8415.0,-12818.0,6423.0
3026898176,-8590.0,-12934.0,6550.0
3026918176,-8807.0,-12931.0,6605.0
3026938112,-9025.0,-12832.0,6506.0
3026958112,-9254.0,-12853.0,6253.0
3026978304,-9400.0,-13090.0,5950.0
3026998304,-9372.0,-13312.0,5624.0
3027018240,-9202.0,-13317.0,5286.0
3027038240,-8939.0,-13106.0,4989.0
3027058432,-8655.0,-12977.0,4752.0
3027078432,-8456.0,-13137.0,4552.0
3027098368,-8392.0,-13331.0,4316.0
3027118368,-8514.0,-13283.0,4030.0
3027138304,-8833.0,-13049.0,3798.0
3027158304,-9303.0,-12747.0,3733.0
3027178496,-9804.0,-12525.0,3831.0
3027198496,-10092.0,-12498.0,3947.0
3027218432,-10038.0,-12386.0,3951.0
3027238432,-9735.0,-12176.0,3879.0
3027258624,-9367.0,-12081.0,3777.0
3027278624,-9098.0,-11999.0,3620.0
3027298560,-9126.0,-11851.0,3374.0
3027318560,-9452.0,-11721.0,3043.0
3027338496,-9827.0,-11669.0,2638.0
3027358496,-10053.0,-11678.0,2194.0
3027378688,-10144.0,-11664.0,1723.0
3027398688,-10264.0,-11580.0,1236.0
3027418624,-10400.0,-11568.0,679.0
3027438624,-10463.0,-11695.0,14.0
3027458816,-10604.0,-11909.0,-733.0
