timestamp,X,Y,Z
1776092061455647,-12668.0,-9160.0,7005.0
1776092061475647,-12530.0,-9091.0,6596.0
1776092061493855,-12459.0,-8999.0,6435.0
1776092061513855,-12518.0,-8950.0,6478.0
1776092061533894,-12692.0,-8981.0,6603.0
1776092061553894,-12904.0,-9061.0,6678.0
1776092061573933,-13071.0,-9128.0,6636.0
1776092061593933,-13169.0,-9147.0,6502.0
1776092061613972,-13211.0,-9149.0,6345.0
1776092061633972,-13216.0,-9215.0,6216.0
1776092061654011,-13229.0,-9381.0,6140.0
1776092061674011,-13247.0,-9522.0,6080.0
1776092061694050,-13281.0,-9526.0,6013.0
1776092061714050,-13440.0,-9422.0,6012.0
1776092061734089,-13710.0,-9345.0,6181.0
1776092061754089,-13910.0,-9365.0,6400.0
1776092061774128,-14100.0,-9257.0,6461.0
1776092061794128,-14677.0,-8951.0,6563.0
1776092061814167,-15519.0,-8787.0,6987.0
1776092061834167,-15621.0,-9048.0,7446.0
1776092061854206,-14172.0,-9630.0,7461.0
1776092061874206,-11419.0,-10257.0,6866.0
1776092061894245,-8346.0,-10799.0,5963.0
1776092061914245,-5892.0,-11276.0,5212.0
1776092061934285,-4396.0,-11832.0,4886.0
1776092061954285,-3772.0,-12578.0,4971.0
1776092061974324,-3821.0,-13378.0,5345.0
1776092061994324,-4309.0,-14008.0,5958.0
1776092062014363,-5057.0,-14225.0,6608.0
1776092062034363,-5860.0,-14155.0,7003.0
1776092062054402,-6493.0,-14388.0,7123.0
1776092062074402,-6822.0,-15071.0,6996.0
1776092062094441,-6865.0,-15781.0,6668.0
1776092062114441,-6749.0,-16174.0,6263.0
1776092062134480,-6468.0,-16194.0,5915.0
1776092062154480,-5950.0,-15840.0,5646.0
1776092062174519,-5191.0,-15295.0,5428.0
1776092062194519,-4306.0,-14852.0,5330.0
1776092062214558,-3524.0,-14584.0,5469.0
1776092062234558,-2936.0,-14452.0,5779.0
1776092062254597,-2536.0,-14216.0,6040.0
1776092062274597,-2344.0,-13635.0,6169.0
1776092062294636,-2397.0,-12794.0,6253.0
1776092062314636,-2751.0,-12062.0,6421.0
1776092062334675,-3374.0,-11740.0,6731.0
1776092062354675,-4068.0,-11852.0,7096.0
1776092062374714,-4746.0,-12270.0,7414.0
1776092062394714,-5468.0,-12813.0,7600.0
1776092062414753,-6198.0,-13407.0,7591.0
