timestamp,X,Y,Z
1776171643218284,-14996.0,4820.0,2645.0
1776171643238284,-15017.0,4744.0,2596.0
1776171643258323,-15079.0,4725.0,2529.0
1776171643278323,-15154.0,4783.0,2457.0
1776171643298362,-15231.0,4919.0,2407.0
1776171643318362,-15312.0,5075.0,2391.0
1776171643338401,-15403.0,5166.0,2396.0
1776171643358401,-15506.0,5140.0,2400.0
1776171643378440,-15633.0,5062.0,2427.0
1776171643398440,-15782.0,5028.0,2510.0
1776171643418479,-15904.0,5043.0,2623.0
1776171643438479,-15946.0,5050.0,2695.0
1776171643458518,-15903.0,5025.0,2687.0
1776171643478518,-15806.0,4994.0,2613.0
1776171643498558,-15687.0,4976.0,2496.0
1776171643518558,-15567.0,4965.0,2331.0
1776171643518597,-15469.0,4970.0,2127.0
1776171643538597,-15387.0,4991.0,1899.0
1776171643558597,-15352.0,4983.0,1639.0
1776171643578636,-15419.0,4950.0,1377.0
1776171643598636,-15571.0,4984.0,1186.0
1776171643619499,-15735.0,5128.0,1092.0
1776171643639499,-15863.0,5322.0,1068.0
1776171643658714,-15954.0,5461.0,1084.0
1776171643678714,-16037.0,5477.0,1132.0
1776171643698753,-16117.0,5405.0,1224.0
1776171643718753,-16149.0,5362.0,1359.0
1776171643738792,-16102.0,5415.0,1493.0
1776171643758792,-15967.0,5633.0,1588.0
1776171643778831,-15762.0,6214.0,1640.0
1776171643798831,-15452.0,7136.0,1576.0
1776171643818870,-14976.0,8138.0,1231.0
1776171643838870,-14444.0,8944.0,544.0
1776171643858909,-14029.0,9438.0,-326.0
1776171643878909,-13837.0,9664.0,-1078.0
1776171643898948,-13754.0,9728.0,-1527.0
1776171643918948,-13616.0,9733.0,-1667.0
1776171643938987,-13410.0,9760.0,-1520.0
1776171643958987,-13250.0,9742.0,-1170.0
1776171643979026,-13236.0,9630.0,-720.0
1776171643999026,-13389.0,9479.0,-265.0
1776171644019065,-13622.0,9354.0,118.0
1776171644039065,-13752.0,9389.0,455.0
1776171644059104,-13644.0,9744.0,851.0
1776171644079104,-13302.0,10387.0,1312.0
1776171644099143,-12766.0,11077.0,1715.0
1776171644119143,-12096.0,11608.0,1955.0
1776171644139183,-11396.0,11848.0,2017.0
1776171644159183,-10774.0,11755.0,1952.0
1776171644179222,-10404.0,11467.0,1906.0
1776171644199222,-10281.0,11083.0,1943.0
1776171644219261,-10354.0,10767.0,2064.0
1776171644239261,-10524.0,10565.0,2173.0
1776171644259300,-10683.0,10450.0,2164.0
1776171644279300,-10825.0,10338.0,2021.0
1776171644299339,-11030.0,10263.0,1884.0
1776171644319339,-11340.0,10334.0,1869.0
1776171644339378,-11716.0,10606.0,1956.0
1776171644359378,-12019.0,11088.0,1985.0
1776171644379417,-12099.0,11658.0,1787.0
1776171644399417,-11891.0,12131.0,1325.0
1776171644419456,-11498.0,12440.0,749.0
1776171644439456,-11063.0,12589.0,261.0
1776171644459495,-10685.0,12596.0,-13.0
1776171644479495,-10470.0,12528.0,-20.0
1776171644499534,-10480.0,12403.0,172.0
1776171644519534,-10732.0,12228.0,415.0
1776171644539573,-11199.0,12022.0,579.0
1776171644559573,-11777.0,11830.0,585.0
1776171644579612,-12381.0,11688.0,453.0
1776171644599612,-12847.0,11644.0,225.0
1776171644619712,-13023.0,11666.0,-40.0
1776171644639712,-12878.0,11672.0,-244.0
1776171644659690,-12484.0,11640.0,-361.0
1776171644679690,-11962.0,11570.0,-430.0
1776171644699729,-11433.0,11399.0,-521.0
1776171644719729,-10969.0,11148.0,-669.0
1776171644739768,-10623.0,10931.0,-871.0
1776171644759768,-10452.0,10848.0,-1084.0
1776171644779808,-10471.0,10931.0,-1282.0
1776171644799808,-10652.0,11123.0,-1479.0
1776171644819847,-10967.0,11321.0,-1690.0
1776171644839847,-11373.0,11456.0,-1911.0
1776171644859886,-11838.0,11541.0,-2073.0
1776171644879886,-12356.0,11665.0,-2077.0
1776171644899925,-12898.0,11856.0,-1901.0
1776171644919925,-13417.0,12051.0,-1616.0
1776171644939964,-13823.0,12247.0,-1290.0
1776171644959964,-13963.0,12441.0,-1023.0
1776171644980003,-13846.0,12595.0,-817.0
1776171645000003,-13536.0,12646.0,-612.0
1776171645020042,-13021.0,12585.0,-392.0
1776171645040042,-12301.0,12379.0,-206.0
1776171645060081,-11479.0,12051.0,-64.0
1776171645080081,-10731.0,11721.0,53.0
1776171645100120,-10179.0,11490.0,139.0
1776171645120120,-9861.0,11313.0,163.0
1776171645140159,-9783.0,11110.0,117.0
1776171645160159,-9929.0,10824.0,6.0
1776171645180198,-10275.0,10465.0,-124.0
1776171645200198,-10730.0,10271.0,-184.0
1776171645220237,-11138.0,10499.0,-233.0
1776171645240237,-11429.0,11070.0,-377.0
1776171645260276,-11646.0,11714.0,-615.0
1776171645280276,-11835.0,12238.0,-875.0
1776171645300315,-12003.0,12586.0,-1073.0
1776171645320315,-12147.0,12757.0,-1161.0
1776171645340354,-12248.0,12781.0,-1133.0
1776171645360354,-12255.0,12695.0,-1018.0
1776171645380393,-12167.0,12529.0,-853.0
1776171645400393,-12052.0,12303.0,-648.0
1776171645420433,-11972.0,12042.0,-386.0
1776171645440433,-11885.0,11735.0,-86.0
1776171645460472,-11724.0,11341.0,149.0
1776171645480472,-11543.0,10925.0,248.0
1776171645500511,-11457.0,10592.0,203.0
1776171645520511,-11559.0,10435.0,74.0
1776171645540550,-11782.0,10595.0,-73.0
1776171645560550,-11987.0,11020.0,-267.0
1776171645580589,-12087.0,11442.0,-475.0
1776171645600589,-12112.0,11727.0,-583.0
1776171645620628,-12160.0,11784.0,-588.0
1776171645640628,-12258.0,11590.0,-522.0
1776171645660667,-12356.0,11245.0,-409.0
1776171645680667,-12469.0,10844.0,-269.0
1776171645700706,-12648.0,10453.0,-97.0
1776171645720706,-12877.0,10177.0,107.0
1776171645740745,-13112.0,10078.0,309.0
1776171645760745,-13336.0,10058.0,454.0
1776171645780784,-13584.0,9949.0,548.0
1776171645800784,-13814.0,9768.0,651.0
1776171645820823,-13860.0,9698.0,807.0
1776171645840823,-13531.0,9983.0,1073.0
1776171645860862,-12783.0,10711.0,1388.0
1776171645880862,-11721.0,11544.0,1505.0
1776171645900901,-10660.0,11991.0,1324.0
1776171645920901,-9912.0,11904.0,1033.0
1776171645940940,-9613.0,11591.0,834.0
1776171645960940,-9726.0,11239.0,777.0
1776171645980979,-10143.0,10898.0,808.0
1776171646000979,-10791.0,10498.0,846.0
1776171646001018,-11642.0,9965.0,846.0
1776171646021018,-12574.0,9393.0,763.0
1776171646041018,-13374.0,9004.0,653.0
1776171646061058,-13714.0,9028.0,551.0
1776171646081058,-13433.0,9547.0,343.0
1776171646101097,-12773.0,10343.0,-75.0
1776171646121097,-12210.0,11084.0,-590.0
1776171646141136,-12148.0,11500.0,-973.0
1776171646161136,-12533.0,11655.0,-1115.0
1776171646181175,-13111.0,11644.0,-1073.0
1776171646201175,-13671.0,11431.0,-951.0
1776171646221214,-14069.0,11009.0,-841.0
1776171646241214,-14250.0,10438.0,-785.0
1776171646261253,-14265.0,9868.0,-710.0
1776171646281253,-14200.0,9457.0,-539.0
1776171646301292,-14061.0,9186.0,-290.0
1776171646321292,-13894.0,8909.0,-7.0
1776171646341331,-13736.0,8571.0,308.0
1776171646361331,-13572.0,8241.0,623.0
1776171646381370,-13493.0,7925.0,876.0
1776171646401370,-13675.0,7574.0,991.0
1776171646421409,-14011.0,7289.0,825.0
1776171646441409,-14247.0,7380.0,348.0
1776171646461448,-14465.0,7942.0,-244.0
1776171646481448,-14842.0,8604.0,-787.0
1776171646501487,-15386.0,8933.0,-1128.0
1776171646521487,-15927.0,8852.0,-1136.0
1776171646541526,-16239.0,8529.0,-845.0
1776171646561526,-16230.0,8039.0,-431.0
1776171646581565,-15910.0,7463.0,-99.0
1776171646601565,-15419.0,7019.0,97.0
