timestamp,RED,IR,GREEN,AMBIENT
1428779648,42033.0,15615.0,57236.0,78806.0
1428799637,42076.0,15641.0,57322.0,79583.0
1428819584,42135.0,15671.0,57425.0,80443.0
1428839573,42176.0,15687.0,57471.0,81302.0
1428859648,42173.0,15691.0,57507.0,82092.0
1428879637,42189.0,15695.0,57537.0,82735.0
1428899584,42177.0,15689.0,57529.0,83297.0
1428919573,42181.0,15692.0,57523.0,83704.0
1428939520,42125.0,15668.0,57463.0,83972.0
1428959509,42099.0,15648.0,57424.0,84132.0
1428979584,42070.0,15633.0,57379.0,84269.0
1428999573,42049.0,15622.0,57351.0,84363.0
1429019520,42010.0,15601.0,57292.0,84536.0
1429039509,41967.0,15586.0,57235.0,84731.0
1429059456,41976.0,15579.0,57247.0,84943.0
1429079445,41965.0,15575.0,57228.0,85159.0
1429099520,41944.0,15573.0,57219.0,85401.0
1429119509,41915.0,15552.0,57169.0,85575.0
1429139456,41910.0,15545.0,57161.0,85740.0
1429159445,41911.0,15551.0,57166.0,85824.0
1429179392,41914.0,15536.0,57166.0,85863.0
1429199381,41888.0,15524.0,57110.0,85877.0
1429219456,41848.0,15500.0,57048.0,85884.0
1429239445,41829.0,15497.0,57023.0,85889.0
1429259392,41833.0,15486.0,57051.0,85952.0
1429279381,41808.0,15483.0,57036.0,86077.0
1429299328,41802.0,15483.0,57013.0,86317.0
1429319317,41848.0,15501.0,57091.0,86586.0
1429339648,41897.0,15520.0,57166.0,86868.0
1429359637,41891.0,15524.0,57164.0,87192.0
1429379328,41823.0,15485.0,57036.0,87530.0
1429399317,41771.0,15464.0,56987.0,87821.0
1429419264,41753.0,15450.0,56940.0,88226.0
1429439253,41715.0,15426.0,56844.0,88730.0
1429459328,41660.0,15400.0,56757.0,89342.0
1429479317,41635.0,15382.0,56707.0,89912.0
1429499264,41664.0,15396.0,56758.0,90398.0
1429519253,41748.0,15434.0,56929.0,90591.0
1429539328,41771.0,15435.0,56967.0,90987.0
1429559317,41707.0,15398.0,56855.0,91585.0
1429579264,41549.0,15346.0,56643.0,92254.0
1429599253,41545.0,15347.0,56657.0,92576.0
1429619200,41559.0,15346.0,56648.0,92747.0
1429639189,41515.0,15320.0,56584.0,92795.0
1429659264,41416.0,15282.0,56422.0,93049.0
1429679253,41356.0,15267.0,56324.0,93548.0
1429699200,41362.0,15258.0,56312.0,94344.0
1429719189,41402.0,15275.0,56366.0,95439.0
1429739264,41426.0,15287.0,56390.0,96771.0
1429759253,41406.0,15274.0,56354.0,98182.0
1429779328,41379.0,15258.0,56308.0,99540.0
1429799317,41358.0,15243.0,56285.0,100630.0
1429819392,41413.0,15272.0,56381.0,101598.0
1429839381,41451.0,15285.0,56442.0,102689.0
1429859328,41527.0,15316.0,56552.0,103717.0
1429879317,41548.0,15331.0,56636.0,104602.0
1429899008,41617.0,15362.0,56775.0,105277.0
1429918997,41721.0,15407.0,56911.0,105805.0
1429938944,41835.0,15459.0,57078.0,106237.0
1429958933,41740.0,15394.0,56991.0,106366.0
1429979008,41730.0,15394.0,56927.0,106485.0
1429998997,41720.0,15391.0,56877.0,106545.0
1430018944,41821.0,15430.0,57008.0,106450.0
1430038933,41859.0,15448.0,57070.0,106981.0
1430058880,41799.0,15419.0,57024.0,107623.0
1430078869,41823.0,15430.0,57050.0,108243.0
1430098944,41819.0,15422.0,57019.0,108698.0
1430118933,41847.0,15427.0,57039.0,109034.0
1430138880,41882.0,15433.0,57094.0,109593.0
1430158869,41914.0,15446.0,57119.0,110643.0
1430178816,41919.0,15446.0,57140.0,112017.0
1430198805,41908.0,15438.0,57133.0,113746.0
1430218880,41904.0,15430.0,57128.0,115874.0
1430238869,41932.0,15437.0,57196.0,118529.0
1430258816,42032.0,15483.0,57301.0,121758.0
1430278805,42057.0,15473.0,57347.0,125227.0
1430298752,42075.0,15489.0,57353.0,128288.0
1430318741,42082.0,15484.0,57373.0,131017.0
1430339328,42083.0,15480.0,57390.0,133309.0
1430359317,42079.0,15473.0,57365.0,135194.0
