timestamp,X,Y,Z
1879657728,-10933.0,-11523.0,-4327.0
1879677728,-10982.0,-11493.0,-4288.0
1879697664,-11016.0,-11471.0,-4221.0
1879717664,-11037.0,-11478.0,-4120.0
1879737856,-11052.0,-11494.0,-4007.0
1879757856,-11050.0,-11505.0,-3920.0
1879778560,-11026.0,-11495.0,-3872.0
1879798560,-10999.0,-11475.0,-3852.0
1879817728,-10983.0,-11478.0,-3837.0
1879837728,-10978.0,-11511.0,-3800.0
1879857920,-10968.0,-11556.0,-3745.0
1879877920,-10936.0,-11592.0,-3676.0
1879897856,-10896.0,-11579.0,-3634.0
1879917856,-10887.0,-11557.0,-3612.0
1879938048,-10933.0,-11574.0,-3594.0
1879958048,-10995.0,-11610.0,-3587.0
1879977984,-11018.0,-11647.0,-3593.0
1879997984,-10990.0,-11665.0,-3607.0
1880017920,-10954.0,-11647.0,-3616.0
1880037920,-10940.0,-11586.0,-3614.0
1880058112,-10947.0,-11535.0,-3599.0
1880078112,-10965.0,-11550.0,-3585.0
1880098048,-10978.0,-11625.0,-3585.0
1880118048,-10994.0,-11701.0,-3595.0
1880138240,-11021.0,-11712.0,-3610.0
1880158240,-11064.0,-11648.0,-3619.0
1880178176,-11109.0,-11577.0,-3597.0
1880198176,-11143.0,-11540.0,-3536.0
1880218112,-11176.0,-11497.0,-3459.0
1880238112,-11204.0,-11419.0,-3393.0
1880238208,-11219.0,-11347.0,-3331.0
1880258208,-11222.0,-11320.0,-3281.0
1880278208,-11220.0,-11331.0,-3267.0
1880298240,-11207.0,-11372.0,-3298.0
1880318240,-11180.0,-11443.0,-3335.0
1880338432,-11152.0,-11507.0,-3366.0
1880358432,-11135.0,-11553.0,-3385.0
1880378368,-11148.0,-11610.0,-3369.0
1880398368,-11191.0,-11638.0,-3362.0
1880418560,-11223.0,-11602.0,-3396.0
1880438560,-11214.0,-11569.0,-3442.0
1880458496,-11166.0,-11576.0,-3469.0
1880478496,-11101.0,-11582.0,-3482.0
1880498688,-11050.0,-11554.0,-3501.0
1880518688,-11022.0,-11534.0,-3527.0
1880538624,-11003.0,-11538.0,-3553.0
1880558624,-11000.0,-11553.0,-3566.0
1880578560,-11038.0,-11556.0,-3568.0
1880598560,-11104.0,-11550.0,-3564.0
1880618752,-11161.0,-11549.0,-3550.0
1880638752,-11189.0,-11551.0,-3526.0
1880658688,-11193.0,-11535.0,-3500.0
1880678688,-11190.0,-11504.0,-3478.0
1880698624,-11188.0,-11490.0,-3462.0
1880718624,-11176.0,-11500.0,-3450.0
1880738816,-11155.0,-11506.0,-3448.0
1880758816,-11143.0,-11492.0,-3455.0
1880779008,-11159.0,-11456.0,-3476.0
1880799008,-11193.0,-11438.0,-3490.0
1880818944,-11203.0,-11484.0,-3485.0
1880838944,-11163.0,-11591.0,-3453.0
1880858880,-11104.0,-11696.0,-3392.0
1880878880,-11069.0,-11697.0,-3352.0
1880898816,-11081.0,-11572.0,-3375.0
1880918816,-11114.0,-11464.0,-3443.0
1880939008,-11105.0,-11489.0,-3510.0
1880959008,-11035.0,-11601.0,-3545.0
1880978944,-10920.0,-11699.0,-3541.0
1880998944,-10742.0,-11794.0,-3527.0
1881019136,-10492.0,-11899.0,-3534.0
1881039136,-10192.0,-11969.0,-3565.0
1881059072,-9913.0,-11985.0,-3625.0
1881079072,-9736.0,-11981.0,-3681.0
1881099008,-9725.0,-11978.0,-3714.0
1881119008,-9878.0,-11949.0,-3718.0
1881139200,-10109.0,-11979.0,-3645.0
1881159200,-10339.0,-12099.0,-3479.0
1881179136,-10587.0,-12095.0,-3321.0
1881199136,-10876.0,-11904.0,-3248.0
1881219328,-11120.0,-11698.0,-3207.0
1881239328,-11235.0,-11569.0,-3150.0
1881259264,-11209.0,-11433.0,-3082.0
1881279264,-11103.0,-11250.0,-3035.0
1881299200,-11076.0,-11014.0,-3044.0
1881319200,-11255.0,-10766.0,-3105.0
1881339392,-11581.0,-10630.0,-3165.0
1881359392,-11942.0,-10669.0,-3252.0
1881379328,-12237.0,-10774.0,-3420.0
1881399328,-12418.0,-10868.0,-3629.0
1881419520,-12449.0,-10930.0,-3782.0
1881439520,-12306.0,-10909.0,-3880.0
1881459456,-12070.0,-10768.0,-4011.0
1881479456,-11932.0,-10555.0,-4160.0
1881499392,-12012.0,-10335.0,-4228.0
1881519392,-12210.0,-10227.0,-4180.0
1881539584,-12403.0,-10279.0,-4088.0
1881559584,-12516.0,-10381.0,-4004.0
1881579520,-12533.0,-10494.0,-3917.0
1881599520,-12475.0,-10576.0,-3867.0
1881619712,-12343.0,-10605.0,-3913.0
1881639712,-12195.0,-10622.0,-4019.0
1881659648,-12176.0,-10640.0,-4127.0
1881679648,-12238.0,-10705.0,-4190.0
1881699584,-12196.0,-10951.0,-4154.0
1881719584,-12009.0,-11295.0,-4028.0
1881739776,-11825.0,-11471.0,-3863.0
1881759776,-11798.0,-11308.0,-3712.0
1881779712,-11885.0,-10910.0,-3626.0
1881799712,-11914.0,-10650.0,-3569.0
1881819904,-11814.0,-10737.0,-3477.0
1881839904,-11664.0,-10946.0,-3401.0
1881859840,-11543.0,-11059.0,-3360.0
1881879840,-11464.0,-11133.0,-3291.0
1881899776,-11395.0,-11213.0,-3194.0
1881919776,-11326.0,-11271.0,-3142.0
1881939968,-11270.0,-11319.0,-3156.0
1881959968,-11231.0,-11353.0,-3213.0
1881979904,-11183.0,-11361.0,-3303.0
1881999904,-11124.0,-11405.0,-3384.0
1882020096,-11052.0,-11487.0,-3404.0
1882040096,-10930.0,-11551.0,-3406.0
1882060032,-10830.0,-11540.0,-3458.0
1882080032,-10900.0,-11437.0,-3497.0
1882099968,-11117.0,-11332.0,-3447.0
1882119968,-11340.0,-11242.0,-3319.0
1882140160,-11495.0,-11136.0,-3218.0
1882160160,-11613.0,-10959.0,-3219.0
1882180096,-11746.0,-10724.0,-3307.0
1882200096,-11887.0,-10525.0,-3425.0
1882220288,-11969.0,-10473.0,-3530.0
1882240288,-11942.0,-10569.0,-3619.0
1882260224,-11797.0,-10769.0,-3686.0
1882280224,-11624.0,-11008.0,-3686.0
1882300160,-11564.0,-11134.0,-3667.0
1882320160,-11663.0,-11081.0,-3726.0
1882340352,-11819.0,-10954.0,-3826.0
1882360352,-11903.0,-10910.0,-3855.0
1882380288,-11834.0,-10971.0,-3866.0
1882400288,-11675.0,-10942.0,-4080.0
1882420480,-11457.0,-10914.0,-4429.0
1882440480,-11223.0,-11145.0,-4658.0
1882460416,-11017.0,-11518.0,-4609.0
1882480416,-10958.0,-11656.0,-4417.0
1882500352,-11052.0,-11433.0,-4286.0
1882520352,-11155.0,-11230.0,-4169.0
1882540544,-11215.0,-11154.0,-3958.0
1882560544,-11354.0,-11004.0,-3824.0
1882580480,-11614.0,-10809.0,-3889.0
1882600480,-11866.0,-10913.0,-3948.0
1882620672,-11987.0,-11307.0,-3812.0
1882640672,-12015.0,-11549.0,-3599.0
1882660608,-12043.0,-11321.0,-3582.0
1882680608,-11975.0,-10951.0,-3726.0
1882700544,-11730.0,-10861.0,-3795.0
1882720544,-11463.0,-10985.0,-3724.0
1882740736,-11422.0,-11002.0,-3635.0
1882760736,-11587.0,-10934.0,-3552.0
1882780672,-11746.0,-10988.0,-3434.0
1882800672,-11782.0,-11109.0,-3291.0
1882820864,-11753.0,-11103.0,-3152.0
1882840864,-11746.0,-10909.0,-3031.0
1882860800,-11762.0,-10634.0,-2989.0
1882880800,-11771.0,-10423.0,-3005.0
1882900736,-11794.0,-10378.0,-2992.0
1882920736,-11819.0,-10450.0,-2976.0
1882940928,-11827.0,-10572.0,-3050.0
1882960928,-11834.0,-10690.0,-3204.0
1882980864,-11874.0,-10781.0,-3317.0
1883000864,-11987.0,-10812.0,-3344.0
1883021056,-12152.0,-10777.0,-3348.0
1883041056,-12338.0,-10693.0,-3361.0
1883060992,-12488.0,-10684.0,-3308.0
1883080992,-12503.0,-10797.0,-3195.0
1883100928,-12362.0,-10944.0,-3118.0
1883120928,-12133.0,-11046.0,-3123.0
1883141120,-11883.0,-11062.0,-3186.0
1883161120,-11652.0,-11030.0,-3244.0
1883181056,-11515.0,-10952.0,-3302.0
1883201056,-11528.0,-10869.0,-3357.0
1883221248,-11649.0,-10859.0,-3331.0
1883241248,-11733.0,-10911.0,-3252.0
1883261184,-11685.0,-10958.0,-3231.0
1883281184,-11566.0,-10964.0,-3264.0
1883301120,-11498.0,-10933.0,-3258.0
1883321120,-11541.0,-10860.0,-3192.0
1883341312,-11673.0,-10727.0,-3119.0
1883361312,-11835.0,-10566.0,-3084.0
1883381248,-11979.0,-10474.0,-3082.0
1883401248,-12084.0,-10533.0,-3049.0
1883421440,-12115.0,-10751.0,-2954.0
1883441440,-12038.0,-11019.0,-2843.0
1883461376,-11883.0,-11188.0,-2763.0
1883481376,-11738.0,-11212.0,-2711.0
1883501568,-11663.0,-11107.0,-2713.0
1883521568,-11634.0,-10954.0,-2782.0
1883521408,-11624.0,-10871.0,-2881.0
1883541408,-11635.0,-10912.0,-2958.0
1883561408,-11685.0,-11041.0,-3012.0
1883581440,-11775.0,-11164.0,-3074.0
1883601440,-11864.0,-11214.0,-3105.0
1883621632,-11913.0,-11195.0,-3039.0
1883641632,-11913.0,-11119.0,-2932.0
1883661568,-11904.0,-10985.0,-2872.0
1883681568,-11923.0,-10819.0,-2896.0
1883701760,-11943.0,-10682.0,-2974.0
1883721760,-11908.0,-10634.0,-3070.0
1883741696,-11798.0,-10742.0,-3115.0
1883761696,-11687.0,-10942.0,-3066.0
1883781888,-11670.0,-11065.0,-2952.0
1883801888,-11767.0,-11046.0,-2829.0
1883821824,-11927.0,-10894.0,-2750.0
1883841824,-12073.0,-10684.0,-2716.0
1883861760,-12134.0,-10545.0,-2701.0
1883881760,-12078.0,-10543.0,-2692.0
1883903232,-11966.0,-10620.0,-2702.0
1883923232,-11894.0,-10689.0,-2738.0
1883941888,-11887.0,-10758.0,-2774.0
1883961888,-11939.0,-10856.0,-2805.0
1883981824,-12028.0,-10941.0,-2858.0
1884001824,-12122.0,-10986.0,-2935.0
1884022016,-12197.0,-11011.0,-3008.0
1884042016,-12238.0,-10979.0,-3071.0
1884061952,-12236.0,-10844.0,-3130.0
1884081952,-12130.0,-10716.0,-3191.0
1884102144,-11867.0,-10746.0,-3215.0
1884122144,-11496.0,-10961.0,-3141.0
1884142080,-11212.0,-11095.0,-3045.0
1884162080,-11200.0,-10930.0,-3002.0
1884182016,-11456.0,-10663.0,-2968.0
1884202016,-11793.0,-10584.0,-2926.0
1884222208,-12032.0,-10717.0,-2936.0
1884242208,-12140.0,-10900.0,-3046.0
1884262144,-12164.0,-11031.0,-3198.0
1884282144,-12111.0,-11122.0,-3308.0
1884302336,-11975.0,-11177.0,-3354.0
1884322336,-11821.0,-11205.0,-3368.0
1884342272,-11750.0,-11159.0,-3390.0
1884362272,-11804.0,-11024.0,-3424.0
1884382208,-11937.0,-10872.0,-3454.0
1884402208,-12063.0,-10798.0,-3479.0
1884422400,-12123.0,-10830.0,-3530.0
1884442400,-12068.0,-10934.0,-3608.0
1884462336,-11916.0,-11033.0,-3668.0
1884482336,-11735.0,-11084.0,-3672.0
1884502528,-11572.0,-11100.0,-3615.0
1884522528,-11419.0,-11119.0,-3532.0
1884542464,-11266.0,-11159.0,-3506.0
1884562464,-11134.0,-11205.0,-3553.0
1884582400,-11088.0,-11282.0,-3585.0
1884602400,-11142.0,-11425.0,-3520.0
1884622592,-11253.0,-11586.0,-3393.0
1884642592,-11357.0,-11668.0,-3314.0
1884662528,-11417.0,-11682.0,-3316.0
1884682528,-11456.0,-11656.0,-3320.0
1884702720,-11460.0,-11633.0,-3280.0
1884722720,-11358.0,-11643.0,-3228.0
1884742656,-11157.0,-11701.0,-3191.0
1884762656,-10964.0,-11779.0,-3132.0
1884782592,-10810.0,-11837.0,-3034.0
1884802592,-10694.0,-11810.0,-2990.0
1884822784,-10632.0,-11721.0,-2968.0
1884842784,-10508.0,-11949.0,-2760.0
1884862720,-10312.0,-12468.0,-2415.0
1884882720,-10091.0,-12872.0,-2242.0
1884903424,-9898.0,-12910.0,-2448.0
1884923424,-9845.0,-12631.0,-2947.0
1884942848,-9968.0,-12246.0,-3530.0
1884962848,-10208.0,-11945.0,-3976.0
1884982784,-10459.0,-11848.0,-4101.0
