timestamp,X,Y,Z
1776170495777702,-14963.0,6359.0,2418.0
1776170495797702,-14929.0,6386.0,2423.0
1776170495817741,-14950.0,6379.0,2445.0
1776170495837741,-15005.0,6320.0,2452.0
1776170495857780,-15070.0,6242.0,2435.0
1776170495877780,-15126.0,6191.0,2408.0
1776170495897819,-15170.0,6191.0,2390.0
1776170495917819,-15197.0,6232.0,2382.0
1776170495937858,-15193.0,6293.0,2378.0
1776170495957858,-15160.0,6358.0,2378.0
1776170495977897,-15102.0,6410.0,2381.0
1776170495997897,-15040.0,6434.0,2380.0
1776170496017936,-14995.0,6432.0,2377.0
1776170496037936,-14988.0,6414.0,2379.0
1776170496057975,-15024.0,6390.0,2394.0
1776170496077975,-15083.0,6367.0,2422.0
1776170496098014,-15133.0,6340.0,2455.0
1776170496118014,-15147.0,6320.0,2479.0
1776170496138053,-15111.0,6317.0,2482.0
1776170496158053,-15037.0,6336.0,2468.0
1776170496178092,-14960.0,6364.0,2451.0
1776170496198092,-14917.0,6374.0,2432.0
1776170496218131,-14929.0,6360.0,2410.0
1776170496238131,-14975.0,6362.0,2387.0
1776170496258171,-15013.0,6414.0,2370.0
1776170496278171,-15021.0,6511.0,2376.0
1776170496298210,-15017.0,6594.0,2419.0
1776170496318210,-15035.0,6573.0,2469.0
1776170496338249,-15084.0,6421.0,2494.0
1776170496358249,-15150.0,6211.0,2487.0
1776170496378288,-15208.0,6048.0,2474.0
1776170496398288,-15253.0,5992.0,2486.0
1776170496418327,-15280.0,6024.0,2526.0
1776170496438327,-15283.0,6087.0,2573.0
1776170496458366,-15268.0,6130.0,2608.0
1776170496478366,-15247.0,6109.0,2610.0
1776170496498405,-15250.0,6016.0,2594.0
1776170496518405,-15287.0,5924.0,2603.0
1776170496538444,-15329.0,5902.0,2662.0
1776170496558444,-15347.0,5930.0,2752.0
1776170496578483,-15341.0,5958.0,2848.0
1776170496598483,-15324.0,5972.0,2944.0
1776170496619163,-15305.0,5989.0,3050.0
1776170496639163,-15264.0,6002.0,3154.0
