,BAROMETER_Pressure__sum_values,BAROMETER_Pressure__median,BAROMETER_Pressure__mean,BAROMETER_Pressure__length,BAROMETER_Pressure__standard_deviation,BAROMETER_Pressure__variance,BAROMETER_Pressure__root_mean_square,BAROMETER_Pressure__maximum,BAROMETER_Pressure__absolute_maximum,BAROMETER_Pressure__minimum,PHOTOPLETHYSMOGRAPHY_RED__sum_values,PHOTOPLETHYSMOGRAPHY_RED__median,PHOTOPLETHYSMOGRAPHY_RED__mean,PHOTOPLETHYSMOGRAPHY_RED__length,PHOTOPLETHYSMOGRAPHY_RED__standard_deviation,PHOTOPLETHYSMOGRAPHY_RED__variance,PHOTOPLETHYSMOGRAPHY_RED__root_mean_square,PHOTOPLETHYSMOGRAPHY_RED__maximum,PHOTOPLETHYSMOGRAPHY_RED__absolute_maximum,PHOTOPLETHYSMOGRAPHY_RED__minimum,PHOTOPLETHYSMOGRAPHY_IR__sum_values,PHOTOPLETHYSMOGRAPHY_IR__median,PHOTOPLETHYSMOGRAPHY_IR__mean,PHOTOPLETHYSMOGRAPHY_IR__length,PHOTOPLETHYSMOGRAPHY_IR__standard_deviation,PHOTOPLETHYSMOGRAPHY_IR__variance,PHOTOPLETHYSMOGRAPHY_IR__root_mean_square,PHOTOPLETHYSMOGRAPHY_IR__maximum,PHOTOPLETHYSMOGRAPHY_IR__absolute_maximum,PHOTOPLETHYSMOGRAPHY_IR__minimum,PHOTOPLETHYSMOGRAPHY_GREEN__sum_values,PHOTOPLETHYSMOGRAPHY_GREEN__median,PHOTOPLETHYSMOGRAPHY_GREEN__mean,PHOTOPLETHYSMOGRAPHY_GREEN__length,PHOTOPLETHYSMOGRAPHY_GREEN__standard_deviation,PHOTOPLETHYSMOGRAPHY_GREEN__variance,PHOTOPLETHYSMOGRAPHY_GREEN__root_mean_square,PHOTOPLETHYSMOGRAPHY_GREEN__maximum,PHOTOPLETHYSMOGRAPHY_GREEN__absolute_maximum,PHOTOPLETHYSMOGRAPHY_GREEN__minimum,PHOTOPLETHYSMOGRAPHY_AMBIENT__sum_values,PHOTOPLETHYSMOGRAPHY_AMBIENT__median,PHOTOPLETHYSMOGRAPHY_AMBIENT__mean,PHOTOPLETHYSMOGRAPHY_AMBIENT__length,PHOTOPLETHYSMOGRAPHY_AMBIENT__standard_deviation,PHOTOPLETHYSMOGRAPHY_AMBIENT__variance,PHOTOPLETHYSMOGRAPHY_AMBIENT__root_mean_square,PHOTOPLETHYSMOGRAPHY_AMBIENT__maximum,PHOTOPLETHYSMOGRAPHY_AMBIENT__absolute_maximum,PHOTOPLETHYSMOGRAPHY_AMBIENT__minimum,GYROSCOPE_X__sum_values,GYROSCOPE_X__median,GYROSCOPE_X__mean,GYROSCOPE_X__length,GYROSCOPE_X__standard_deviation,GYROSCOPE_X__variance,GYROSCOPE_X__root_mean_square,GYROSCOPE_X__maximum,GYROSCOPE_X__absolute_maximum,GYROSCOPE_X__minimum,GYROSCOPE_Y__sum_values,GYROSCOPE_Y__median,GYROSCOPE_Y__mean,GYROSCOPE_Y__length,GYROSCOPE_Y__standard_deviation,GYROSCOPE_Y__variance,GYROSCOPE_Y__root_mean_square,GYROSCOPE_Y__maximum,GYROSCOPE_Y__absolute_maximum,GYROSCOPE_Y__minimum,GYROSCOPE_Z__sum_values,GYROSCOPE_Z__median,GYROSCOPE_Z__mean,GYROSCOPE_Z__length,GYROSCOPE_Z__standard_deviation,GYROSCOPE_Z__variance,GYROSCOPE_Z__root_mean_square,GYROSCOPE_Z__maximum,GYROSCOPE_Z__absolute_maximum,GYROSCOPE_Z__minimum,ACCELEROMETER_X__sum_values,ACCELEROMETER_X__median,ACCELEROMETER_X__mean,ACCELEROMETER_X__length,ACCELEROMETER_X__standard_deviation,ACCELEROMETER_X__variance,ACCELEROMETER_X__root_mean_square,ACCELEROMETER_X__maximum,ACCELEROMETER_X__absolute_maximum,ACCELEROMETER_X__minimum,ACCELEROMETER_Y__sum_values,ACCELEROMETER_Y__median,ACCELEROMETER_Y__mean,ACCELEROMETER_Y__length,ACCELEROMETER_Y__standard_deviation,ACCELEROMETER_Y__variance,ACCELEROMETER_Y__root_mean_square,ACCELEROMETER_Y__maximum,ACCELEROMETER_Y__absolute_maximum,ACCELEROMETER_Y__minimum,ACCELEROMETER_Z__sum_values,ACCELEROMETER_Z__median,ACCELEROMETER_Z__mean,ACCELEROMETER_Z__length,ACCELEROMETER_Z__standard_deviation,ACCELEROMETER_Z__variance,ACCELEROMETER_Z__root_mean_square,ACCELEROMETER_Z__maximum,ACCELEROMETER_Z__absolute_maximum,ACCELEROMETER_Z__minimum
OpenWearable_Recording_2026-03-26T101341.966067,172330909.75,101252.49609375,101252.00337837837,1702.0,48.95518946998051,2396.610576041691,101252.01521325747,102813.265625,102813.265625,100914.6328125,691188261.0,50572.5,50755.48986635335,13618.0,5911.769749946032,34949021.57637697,51098.618113896926,124440.0,124440.0,35846.0,251861048.0,18405.0,18494.71640475841,13618.0,1918.37113634683,3680147.8167686285,18593.942097070445,42989.0,42989.0,12762.0,941212076.0,68100.0,69115.29416948157,13618.0,8532.775933032204,72808265.1233336,69640.01833182776,160907.0,160907.0,47645.0,913388516.0,67317.5,67072.14833308855,13618.0,21898.345527880632,479537536.85844964,70556.43570131845,197300.0,197300.0,8998.0,3154.532348114997,0.0914639979600906,0.11596266397511293,27203.0,5.412855427246075,29.299003876267296,5.4140974516260325,42.19539260864258,42.19539260864258,-27.362979888916016,3673.0111864097416,0.0533539988100528,0.13502228380729117,27203.0,7.81532441354269,61.079295688916396,7.816490689947819,51.88295364379883,60.41197204589844,-60.41197204589844,-833.1303074061871,0.0609759986400604,-0.030626412800286256,27203.0,3.068908351794311,9.418198471712875,3.0690611673399224,22.0123348236084,31.913312911987305,-31.913312911987305,-185928.65180638805,-6.774295806884766,-6.83485835409286,27203.0,1.9682179344675252,3.8738818375596114,7.112606453197911,13.671935081481934,19.619951248168945,-19.619951248168945,191661.9916196633,7.20958948135376,7.045619660319204,27203.0,1.7799274746220441,3.1681418149144074,7.266973112155494,18.671525955200195,18.671525955200195,-4.871457576751709,12818.829375482106,0.481996476650238,0.4712285180120614,27203.0,1.745383223444503,3.046362596681524,1.8078769075546508,8.977109909057617,8.977109909057617,-8.508285522460938
OpenWearable_Recording_2026-03-26T101935.303786,166865540.140625,101253.8203125,101253.36173581614,1648.0,24.684594925817347,609.3292266516875,101253.36474474941,101444.6875,101444.6875,101070.265625,621570684.0,47062.5,47145.834648058255,13184.0,2535.1420662521195,6426945.296081066,47213.945714779344,54267.0,54267.0,40183.0,230980801.0,17598.0,17519.781629247573,13184.0,969.052953189583,939063.6260854523,17546.56125748308,20046.0,20046.0,14589.0,830304280.0,63135.5,62978.1765776699,13184.0,3057.3039022738913,9347107.150859162,63052.34200407649,71958.0,71958.0,54598.0,1532641202.0,97081.5,116250.09117111651,13184.0,67609.22936974921,4571007895.971359,134480.8223995684,389201.0,389201.0,30287.0,-1892.2757884189487,-0.0381099991500377,-0.07184311433307827,26339.0,4.39541105314474,19.319638326106958,4.395998152773046,28.193777084350582,30.907209396362305,-30.907209396362305,7728.143849562854,0.2439039945602417,0.29341067806533483,26339.0,6.256090120730009,39.13866359869561,6.262966822896187,38.30817031860352,44.230464935302734,-44.230464935302734,-917.8793166130781,0.0152439996600151,-0.03484867749774396,26339.0,2.38318345680871,5.679563388806712,2.3834382348049323,24.37515640258789,32.0733757019043,-32.0733757019043,-170528.9270604998,-6.34379243850708,-6.474388817362079,26339.0,1.4252667031211124,2.0313851750257252,6.629411416815889,-0.1275344789028167,19.619951248168945,-19.619951248168945,193594.86394016258,7.620933055877685,7.350122022102684,26339.0,1.8090961775688514,3.272828979694229,7.569486291651043,18.352989196777344,18.352989196777344,-2.416568756103516,14514.360099760874,0.4580463469028473,0.5510596491803361,26339.0,1.862382969350293,3.4684703245260144,1.9421990272577037,8.620851516723633,8.620851516723633,-5.948016166687012
OpenWearable_Recording_2026-03-26T102512.493306,158170957.3359375,101262.578125,101261.8164762724,1562.0,13.241619967551232,175.34049936505147,101261.81734205036,101321.8515625,101321.8515625,101120.75,572136973.0,45368.0,45792.93845045622,12494.0,2013.810675039296,4055433.434902225,45837.19718047968,51446.0,51446.0,41355.0,212105513.0,16939.0,16976.58980310549,12494.0,870.8554689833701,758389.2478582454,16998.911453112625,19004.0,19004.0,14945.0,766496050.0,60925.0,61349.13158315991,12494.0,2433.1503091463737,5920220.426899094,61397.362862217204,68360.0,68360.0,56249.0,567864670.0,36810.5,45450.99007523611,12494.0,27957.488784102836,781621179.113236,53361.16263662597,208911.0,208911.0,17187.0,1051.310078933835,0.0304879993200302,0.042121482388470494,24959.0,3.4498047936429654,11.901153114241982,3.4500619318384107,35.01546859741211,35.01546859741211,-28.07182502746582,2048.404859703034,0.1600620001554489,0.08207079048451597,24959.0,4.402536836145641,19.382330593619276,4.4033017394076035,34.245643615722656,34.245643615722656,-32.56118392944336,-1525.6576009243727,-0.0076219998300075,-0.061126551581568676,24959.0,1.9183890459233806,3.6802165315188184,1.9193626512014537,36.2349853515625,36.2349853515625,-16.120529174804688,-149779.41853368282,-5.921970367431641,-6.000777986125113,24960.0,1.2543307017428043,1.5733455093345956,6.130471592634482,-0.5771982669830322,16.22202491760254,-16.22202491760254,195900.55191510543,7.976592540740967,7.848579804291083,24960.0,1.3692637573978295,1.8748832373232223,7.9671254654140515,16.785451889038086,16.785451889038086,-0.7089239954948425,21063.407975709182,0.7358679175376892,0.8438865374883486,24960.0,1.480279663512946,2.1912278822100006,1.7039285109311582,6.95751428604126,6.95751428604126,-3.831423044204712
OpenWearable_Recording_2026-03-26T103015.953397,157872042.578125,101265.0,101264.94071720654,1559.0,7.458357397500217,55.62709506884622,101264.94099186771,101288.453125,101288.453125,101202.8671875,556059961.0,44023.0,44577.518117684784,12474.0,1840.3337099269063,3386828.1638933304,44615.49001968272,50660.0,50660.0,40556.0,199334593.0,15777.0,15980.005852172519,12474.0,879.3506172982197,773257.5081427601,16004.182095427768,18350.0,18350.0,14529.0,745106784.0,59160.0,59732.786916786914,12474.0,2337.0931670240266,5462004.471350394,59778.48975440598,67593.0,67593.0,54900.0,1022905160.0,76315.5,82002.97899631233,12474.0,54046.29762980419,2921002287.489378,98211.45987999068,249490.0,249490.0,17696.0,-2510.877293422818,-0.0762199983000755,-0.10073326219300402,24926.0,2.143931714450456,4.5964431962264705,2.146296900789477,13.32325553894043,13.32325553894043,-12.370505332946776,5275.750115741044,0.1829279959201812,0.21165650789300505,24926.0,2.5695652596666094,6.60266562368553,2.5782676550387453,27.82029914855957,27.82029914855957,-20.541290283203125,-922.7955186069012,-0.0381099991500377,-0.03702140410041327,24926.0,1.3648390762523175,1.862785704065279,1.3653410886759563,7.530535697937012,9.984819412231444,-9.984819412231444,-139720.23515319824,-5.4968554973602295,-5.6049516669286845,24928.0,0.9590483531461199,0.9197737436722847,5.686409845612513,-2.328552007675171,10.11953067779541,-10.11953067779541,204638.8464691639,8.28764533996582,8.209196344237961,24928.0,1.101299971124754,1.212861626399384,8.282739054482478,19.57684135437012,19.57684135437012,1.3795278072357178,24145.40725183091,0.8975313305854797,0.9686058749932169,24928.0,1.2051891355527182,1.452480852454308,1.5461818112776011,5.163050651550293,5.163050651550293,-2.4662652015686035
OpenWearable_Recording_2026-03-26T103513.282691,151996456.03125,101263.984375,101263.46171302465,1501.0,7.7016581293186785,59.315537940900484,101263.46200590195,101283.9609375,101283.9609375,101240.0078125,528271109.0,43894.0,43989.60021650429,12009.0,772.0668140965615,596087.1654292145,43996.37501400887,47819.0,47819.0,41356.0,187607560.0,15482.0,15622.246648347073,12009.0,456.00580841985834,207941.29731264853,15628.90052560013,17310.0,17310.0,14869.0,705444372.0,58487.0,58742.973769672746,12009.0,1016.4749497989496,1033221.3235687772,58751.76753620293,63045.0,63045.0,56096.0,728702971.0,52025.0,60679.73777999834,12009.0,38302.82361020381,1467106296.5143867,71757.4865332095,461658.0,461658.0,24874.0,1095.1899129860103,0.0762199983000755,0.04565193468053399,23990.0,1.4801437412622214,2.1908254947977257,1.4808475930823541,7.042727947235107,8.269869804382324,-8.269869804382324,891.0498892776668,0.0762199983000755,0.037142554784396285,23990.0,1.317784852028937,1.7365569162369274,1.318308190679569,7.980233669281006,7.980233669281006,-7.004617691040039,-1513.4471465423703,-0.0609759986400604,-0.0630865838492026,23990.0,1.1066315293010252,1.2246333416431257,1.108428283067916,5.731743812561035,6.6387619972229,-6.6387619972229,-113603.21023464203,-4.606808662414551,-4.7354401931905805,23990.0,0.8605750137744151,0.7405893543328348,4.813001472845991,-2.4249513149261475,9.993194580078123,-9.993194580078123,210144.65084576607,8.826822280883789,8.75967698398358,23990.0,1.0333719407027175,1.0678575678317008,8.82041940224859,15.180793762207031,15.180793762207031,2.885392665863037,21133.06455106812,0.7714937627315521,0.8809114027123018,23990.0,0.965954664992331,0.9330684148204463,1.3073153078920943,4.669078826904297,4.669078826904297,-1.6016653776168823
OpenWearable_Recording_2026-03-26T105712.346697,199860212.28125,101246.98046875,101246.30814652989,1974.0,11.685025298492242,136.5398162264037,101246.30882082517,101284.84375,101284.84375,101215.390625,1071564984.0,67575.5,67811.98481204911,15802.0,2819.569033898004,7949969.536916522,67870.57723112789,76251.0,76251.0,61287.0,427671191.0,26865.0,27064.371028983674,15802.0,1187.2719040231864,1409614.574082842,27090.400398823447,30998.0,30998.0,20405.0,1479518815.0,93586.0,93628.57961017593,15802.0,4013.878147750141,16111217.784986103,93714.57804207432,106136.0,106136.0,83468.0,2697710755.0,98472.0,170719.57695228452,15802.0,156944.6913386111,24631636139.371906,231898.27531514526,524287.0,524287.0,6242.0,-111.43365732580423,0.0304879993200302,-0.003531074761575646,31558.0,3.671172725544329,13.477509180780578,3.671174423705519,23.574846267700195,23.574846267700195,-21.5092830657959,8122.132577847689,0.0609759986400604,0.25737158811862887,31558.0,10.46922656670933,109.60470490509239,10.472389652770904,53.83418655395508,54.7945556640625,-54.7945556640625,1473.2944286689162,-0.0152439996600151,0.04668529148453376,31558.0,2.266735993782081,5.138092065507237,2.2672167037908473,13.10983943939209,15.945223808288574,-15.945223808288574,-81117.87593328138,-2.3369345664978027,-2.570437794957899,31558.0,1.575730005111059,2.482925049007298,3.0149752083152066,3.791905164718628,12.514544486999512,-12.514544486999512,293236.51440024376,9.392644882202148,9.291986640479237,31558.0,1.1195386203328574,1.2533667224167977,9.359187061345734,18.60087203979492,18.60087203979492,2.35908842086792,60537.59190606052,1.7765012979507446,1.9182962135135473,31558.0,1.3412451623312864,1.7989385854770787,2.340683436147975,9.081293106079102,9.081293106079102,-3.5781502723693848
OpenWearable_Recording_2026-03-26T110257.381741,160872198.1640625,101240.4375,101241.15680557741,1589.0,10.39204915121021,107.99468556116885,101241.15733893108,101275.0625,101275.0625,101213.859375,822982910.0,63858.0,64735.53921183041,12713.0,3018.6025423165165,9111961.308479737,64805.879350217234,74431.0,74431.0,59264.0,342031929.0,26596.0,26904.10831432392,12713.0,1478.260307590532,2185253.5369976545,26944.68960158701,31220.0,31220.0,23770.0,1138882127.0,88314.0,89584.0578148352,12713.0,4854.931339058228,23570358.306969725,89715.51578672837,104921.0,104921.0,80445.0,658754377.0,43389.0,51817.38197121057,12713.0,36610.791086802616,1340350024.001506,63445.96991418639,524287.0,524287.0,13456.0,522.0612581297755,0.1448179930448532,0.020561687992507897,25390.0,3.138028003589428,9.847219751311451,3.138095367308736,31.478858947753903,31.478858947753903,-19.6037826538086,-563.4411075785756,-0.2439039945602417,-0.022191457565127044,25390.0,8.448531723652104,71.377688285556,8.44856086835769,38.506343841552734,40.38135528564453,-40.38135528564453,-593.0678238980472,-0.0609759986400604,-0.023358323115322852,25390.0,2.2880173810418842,5.235023535949762,2.2881366102592127,15.25162124633789,15.25162124633789,-14.184541702270508,-61306.47389656445,-2.0615079402923584,-2.4145913310974576,25390.0,1.6311567072684523,2.6606722036668597,2.9139189247262616,4.351739883422852,14.471869468688965,-14.471869468688965,235493.31657481194,9.466291427612305,9.275042007672782,25390.0,1.2409615786644328,1.539985639721321,9.357691482615575,16.826766967773438,16.826766967773438,2.5482945442199707,55512.5288845388,1.981274962425232,2.1863934180598186,25390.0,1.4189796575982627,2.013503268677683,2.606495625780519,8.583728790283203,8.583728790283203,-4.174508571624756
OpenWearable_Recording_2026-03-26T110809.275003,161878617.6171875,101237.421875,101237.40939161195,1599.0,9.011590299054724,81.20875971801722,101237.40979269274,101263.0546875,101263.0546875,101210.5234375,816466585.0,63387.0,63801.405407517384,12797.0,3055.1046437414893,9333664.384210814,63874.509754350365,74812.0,74812.0,57589.0,339114853.0,26277.0,26499.558724701103,12797.0,1571.4693135160253,2469515.803322528,26546.113244827477,32443.0,32443.0,17889.0,1114332266.0,86344.0,87077.61709775729,12797.0,4453.663459799998,19835118.21315769,87191.43603380317,102244.0,102244.0,78298.0,2510261442.0,100564.0,196160.15019145113,12797.0,169034.28993041854,28572591172.280792,258942.84252593943,524287.0,524287.0,26956.0,-1859.8670431524515,-0.0076219998300075,-0.07276759822968236,25559.0,2.8604693526169283,8.18228491726071,2.861394771892342,15.13729190826416,23.93307876586914,-23.93307876586914,9407.910587124527,0.0304879993200302,0.36808602007607993,25559.0,8.824859659199895,77.87814800457369,8.832532780734478,59.20769500732422,59.20769500732422,-46.21218490600586,1622.1368628554046,-0.0304879993200302,0.06346636655797976,25559.0,2.217946556602338,4.919286927944168,2.218854413346725,12.614409446716309,12.614409446716309,-12.187578201293944,-62706.653297796205,-2.2153875827789307,-2.453311944358224,25560.0,1.5773227460543995,2.487947045220592,2.916622454407036,3.647006988525391,12.383418083190918,-12.383418083190918,236103.90129943192,9.370491027832031,9.237241834876054,25560.0,1.2886729135171762,1.6606778780328475,9.326699019160914,18.21347999572754,18.21347999572754,0.1490895897150039,60769.31843465933,2.147728443145752,2.3775163706830726,25560.0,1.431453161321241,2.0490581530565746,2.7751832815009863,8.02209758758545,8.02209758758545,-2.9608354568481445
OpenWearable_Recording_2026-03-26T111245.688277,141946676.9765625,101247.01171875,101245.84663092902,1402.0,10.894775597252584,118.69613531449042,101245.84721710683,101281.921875,101281.921875,101215.5546875,695154126.0,61586.0,61962.21820126571,11219.0,1979.0451473688768,3916619.695324299,61993.81504728184,71312.0,71312.0,57367.0,286770864.0,25396.0,25561.178714680453,11219.0,1090.2916265307467,1188735.8308830613,25584.420906378084,30855.0,30855.0,23169.0,944206215.0,83422.0,84161.35261609769,11219.0,3117.4635072813335,9718578.719230833,84219.07060096522,98210.0,98210.0,77694.0,1149770283.0,90863.0,102484.20385061057,11219.0,52547.04181287603,2761191603.284142,115170.32448585723,524287.0,524287.0,33972.0,39.43623657152057,0.0990860015153884,0.0017595251225414074,22413.0,2.4520462564776735,6.0125308439061715,2.4520468877725055,12.439104080200195,17.926942825317383,-17.926942825317383,2126.7056594602764,-0.1753059923648834,0.09488714850579023,22413.0,5.995798526560499,35.94959997110505,5.996549302895509,39.64202117919922,45.52620315551758,-45.52620315551758,-114.49005830660462,-0.0304879993200302,-0.005108198737634615,22413.0,2.114401357137833,4.47069309906631,2.1144075275974243,11.669281959533691,11.669281959533691,-10.404029846191406,-48217.128910170344,-2.0489342212677,-2.1513018743662315,22413.0,1.3508274151820394,1.8247347056073902,2.540242992364914,2.3848347663879395,8.471162796020508,-8.471162796020508,209490.95773935318,9.41659450531006,9.346850387692552,22413.0,1.1571707477381477,1.3390441394208636,9.418208763312123,16.431589126586914,16.431589126586914,4.119423389434815,56297.17303254502,2.298614263534546,2.5118089069979486,22413.0,1.3881825974927515,1.9270509239817228,2.869884128193323,8.831612586975098,8.831612586975098,-2.190239906311035
OpenWearable_Recording_2026-03-26T111650.158656,141035089.0,101246.0234375,101245.57717157215,1393.0,8.33867955685313,69.5335767518803,101245.57751496283,101269.3203125,101269.3203125,101220.265625,679292022.0,60841.0,60928.515741322095,11149.0,1553.333706046414,2412845.602339887,60948.31315174255,69823.0,69823.0,55459.0,276598791.0,24838.0,24809.291505964662,11149.0,937.9469060003894,879744.3984757032,24827.015314499768,28867.0,28867.0,17859.0,938202619.0,83810.0,84151.27984572608,11149.0,2573.67860611497,6623821.567573895,84190.62727668251,99660.0,99660.0,77650.0,2384359045.0,146434.0,213863.0410799175,11149.0,158067.43207814707,24985313083.77964,265937.42388714326,524287.0,524287.0,41381.0,-844.944395262748,0.0381099991500377,-0.037949445104996544,22265.0,2.0755115968433366,4.307748388631177,2.075858508910218,24.96967124938965,31.410261154174805,-31.410261154174805,6598.6625217832625,0.2210379987955093,0.2963693025727942,22265.0,3.659983468733936,13.395478991405694,3.6719632017373454,35.16028594970703,38.98653030395508,-38.98653030395508,-307.22756040096283,0.0304879993200302,-0.013798677763348881,22265.0,2.1382496108025104,4.572111398097087,2.138294133557192,16.821754455566406,16.821754455566406,-14.329360008239746,-50048.26947856124,-2.1620984077453613,-2.2476431256370972,22267.0,1.412729131003462,1.995803597585797,2.654751065130118,2.0046262741088867,8.504693031311035,-8.504693031311035,206296.87960278988,9.28786277770996,9.264691229298508,22267.0,1.312567607721024,1.7228337248384917,9.357207772571858,18.214677810668945,18.214677810668945,0.817298412322998,60734.89909138158,2.3632795810699463,2.7275743967028148,22267.0,1.3544920017584032,1.8346485828274863,3.045375292533945,7.644883155822754,7.644883155822754,-1.604659080505371
